Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
nan,2785,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2786,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2787,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2788,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2789,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2790,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2791,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2792,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2793,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2794,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2795,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2796,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2797,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2798,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2799,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2800,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2801,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2802,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2803,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2804,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2805,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2806,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2807,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2808,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2809,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2810,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2811,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2812,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2813,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2814,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2815,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2816,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2817,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2818,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2819,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2820,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2821,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2822,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2823,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2824,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2825,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2826,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2827,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2828,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2829,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2830,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2831,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2832,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2833,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2834,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2835,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2836,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2837,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2838,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2839,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2840,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2841,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2842,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2843,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2844,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2845,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2846,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2847,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2848,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2849,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2850,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2851,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2852,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2853,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2854,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2855,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2856,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2857,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2858,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2859,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2860,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2861,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2862,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2863,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2864,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2865,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2866,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2867,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2868,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2869,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2870,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2871,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2872,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2873,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2874,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2875,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2876,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2877,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2878,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2879,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2880,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2881,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2882,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2883,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2884,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2885,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2886,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2887,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2888,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2889,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2890,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2891,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2892,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2893,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2894,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2895,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2896,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2897,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2898,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2899,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2900,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2901,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2902,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2903,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2904,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2905,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2906,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2907,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2908,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2909,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2910,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2911,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2912,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2913,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2914,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2915,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2916,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2917,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2918,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2919,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2920,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2921,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2922,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2923,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2924,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2925,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2926,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2927,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2928,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2929,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2930,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2931,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2932,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2933,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2934,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2935,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2936,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2937,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2938,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2939,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2940,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2941,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2942,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2943,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2944,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2945,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2946,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2947,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2948,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2949,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2950,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2951,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2952,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2953,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2954,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2955,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2956,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2957,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2958,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2959,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2960,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2961,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2962,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2963,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2964,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2965,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2966,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2967,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2968,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2969,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2970,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2971,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2972,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2973,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2974,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2975,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2976,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2977,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2978,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2979,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2980,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2981,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2982,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2983,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2984,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2985,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2986,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2987,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2988,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2989,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2990,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2991,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2992,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2993,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2994,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2995,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2996,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2997,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2998,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2999,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3000,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3001,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3002,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3003,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3004,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3005,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3006,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3007,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3008,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3009,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3010,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3011,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3012,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3013,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3014,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3015,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3016,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3017,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3018,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3019,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3020,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3021,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3022,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3023,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3024,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3025,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3026,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3027,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3028,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3029,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3030,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3031,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3032,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3033,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3034,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3035,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3036,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3037,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3038,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3039,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3040,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3041,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3042,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3043,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3044,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3045,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3046,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3047,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3048,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3049,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3050,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3051,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3052,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3053,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3054,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3055,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3056,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3057,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3058,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3059,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3060,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3061,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3062,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3063,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3064,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3065,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3066,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3067,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3068,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3069,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3070,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3071,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3072,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3073,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3074,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3075,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3076,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3077,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3078,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3079,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3080,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3081,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3082,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3083,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3084,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3085,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3086,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3087,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3088,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3089,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3090,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3091,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3092,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3093,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3094,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3095,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3096,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3097,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3098,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3099,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3100,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3101,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3102,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3103,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3104,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3105,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3106,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3107,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3108,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3109,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3110,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3111,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3112,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3113,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3114,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,3115,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
